"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"11/12/2009","41","PM2.5","San Francisco","06-075-0005","AQS","3","26",".","41","27"
"11/13/2009","34","PM2.5","San Francisco","06-075-0005","AQS","3","31",".","34","32"
"11/14/2009","52","PM2.5","San Francisco","06-075-0005","AQS","5","28",".","52","34"
"11/15/2009","57","PM2.5","San Francisco","06-075-0005","AQS","7","18","19","57","35"
"11/16/2009","64","PM2.5","San Francisco","06-075-0005","AQS","9","15",".","64","51"
"11/17/2009","56","PM2.5","San Francisco","06-075-0005","AQS","9","28",".","56","39"
"11/18/2009","34","NO2","San Francisco","06-075-0005","AQS","5","24",".","33","34"
"11/19/2009","54","PM2.5","San Francisco","06-075-0005","AQS","8","13",".","54","42"
"11/20/2009","30","PM2.5","San Francisco","06-075-0005","AQS","8","29",".","30","28"
"11/21/2009","31","PM2.5","San Francisco","06-075-0005","AQS","3","27","13","31","29"
"11/22/2009","33","PM2.5","San Francisco","06-075-0005","AQS","3","27",".","33","29"
"11/23/2009","54","PM2.5","San Francisco","06-075-0005","AQS","10","13",".","54","41"
"11/24/2009","61","PM2.5","San Francisco","06-075-0005","AQS","10","12",".","61","42"
"11/25/2009","68","PM2.5","San Francisco","06-075-0005","AQS","10","12",".","68","38"
"11/26/2009","74","PM2.5","San Francisco","06-075-0005","AQS","8","24",".","74","34"
"11/27/2009","35","PM2.5","San Francisco","06-075-0005","AQS","2","29","12","35","22"
"11/28/2009","33","PM2.5","San Francisco","06-075-0005","AQS","1","31",".","33","15"
"11/29/2009","43","NO2","San Francisco","06-075-0005","AQS","8","28",".","39","43"
"11/30/2009","67","PM2.5","San Francisco","06-075-0005","AQS","9","16",".","67","50"
"12/01/2009","87","PM2.5","San Francisco","06-075-0005","AQS","9","19",".","87","33"
"12/02/2009","59","PM2.5","San Francisco","06-075-0005","AQS","3","22",".","59","25"
